,title,price,link
0,"MSI Thin 15, Intel Core i7-12650H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB/Cosmos Gray/1.86Kg), B12UCX-1694IN  ","62,989",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2ODQ0ODg3NDk3MDU2MTQzOjE3MjQ4Njc2NzM6c3BfYXRmOjMwMDI0NjA4OTY2MTAzMjo6MDo6&url=%2FMSI-i7-12650H-Windows-GeForce-B12UCX-1694IN%2Fdp%2FB0CV9S7ZV6%2Fref%3Dsr_1_1_sspa%3Fcrid%3D17B5S1XE7R3NU%26dib%3DeyJ2IjoiMSJ9.MPfRRWvR1zv8cS4EMt5RBaNu69b4O1sNkIk9bvdoBdhAAbN6K0HiTrJeNhh7vO-K_NjOUfEDq-nniBb60kQVPCWf7rLCzE1c7Mh3c4PWNH1cTw096kyElRAwvJKA07g5SjSeFQAoR30Oah4pRlLGYWPIcGq7p7ewpjpSq1kHLxsP2MKXzaPA_r1xu3Nz5q6uIp8DebOUpK8fr5SNivQxfl6NVjiVZHGWSkOf5k5i6E8.pDF8CDLmr9A-IPIyc0dykign7YsSoKmxXhRImJH2QFY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724867672%26sprefix%3Dlaptop%252Caps%252C271%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"MSI Thin 15, Intel 12th Gen. Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB /Cosmos Gray/1.86Kg), B12UC-1692IN  ","56,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2ODQ0ODg3NDk3MDU2MTQzOjE3MjQ4Njc2NzM6c3BfYXRmOjMwMDI0NjA4OTY2MDkzMjo6MDo6&url=%2FMSI-i5-12450H-Windows-GeForce-B12UC-1692IN%2Fdp%2FB0CV9P2BB8%2Fref%3Dsr_1_2_sspa%3Fcrid%3D17B5S1XE7R3NU%26dib%3DeyJ2IjoiMSJ9.MPfRRWvR1zv8cS4EMt5RBaNu69b4O1sNkIk9bvdoBdhAAbN6K0HiTrJeNhh7vO-K_NjOUfEDq-nniBb60kQVPCWf7rLCzE1c7Mh3c4PWNH1cTw096kyElRAwvJKA07g5SjSeFQAoR30Oah4pRlLGYWPIcGq7p7ewpjpSq1kHLxsP2MKXzaPA_r1xu3Nz5q6uIp8DebOUpK8fr5SNivQxfl6NVjiVZHGWSkOf5k5i6E8.pDF8CDLmr9A-IPIyc0dykign7YsSoKmxXhRImJH2QFY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724867672%26sprefix%3Dlaptop%252Caps%252C271%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Primebook S Wifi, 2024(NEW) Android Based MediaTek MT8183 - (PrimeOS) Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C) (4GB/128GB eMMC Storage)  ","13,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2ODQ0ODg3NDk3MDU2MTQzOjE3MjQ4Njc2NzM6c3BfbXRmOjMwMDIxMzY3MzA2MzMzMjo6MDo6&url=%2FPrimebook-Android-Based-MediaTek-MT8183%2Fdp%2FB0D2Y4KLGN%2Fref%3Dsr_1_11_sspa%3Fcrid%3D17B5S1XE7R3NU%26dib%3DeyJ2IjoiMSJ9.MPfRRWvR1zv8cS4EMt5RBaNu69b4O1sNkIk9bvdoBdhAAbN6K0HiTrJeNhh7vO-K_NjOUfEDq-nniBb60kQVPCWf7rLCzE1c7Mh3c4PWNH1cTw096kyElRAwvJKA07g5SjSeFQAoR30Oah4pRlLGYWPIcGq7p7ewpjpSq1kHLxsP2MKXzaPA_r1xu3Nz5q6uIp8DebOUpK8fr5SNivQxfl6NVjiVZHGWSkOf5k5i6E8.pDF8CDLmr9A-IPIyc0dykign7YsSoKmxXhRImJH2QFY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724867672%26sprefix%3Dlaptop%252Caps%252C271%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen,Thin and Light Laptop,15.6"" (39.62 cm) FHD, (8GB RAM/512GB/Windows11/Office 2021/Blue/1.7 kg), X1502ZA-EJ523WS  ","48,990",https://amazon.in//ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ523WS/dp/B0C5N3G2MD/ref=sr_1_85?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.wBAHAERudo3zGWhkXkHVw3PpjzP37zbNQdB7Kricn0_bgvpTMWVzwrV8Yvbk4nP2HDW-gZx37GQwjsfarupESOb47w8e8fMkOCi6kYdoV0p5DpRiVmnS9pGm-3lgAKc565JcsrhGiZL_-fOyAD07SxLQwlO9tgiyQjLGFyP-5kvZ5whjxcdA0sN48OWHwBP9kDijJ8wW43VzF71rKSBMrg.G8BRKMoCh6iEk7rs4l4-59EcWhTR29eliJk8QTb-JLo&dib_tag=se&keywords=laptop&qid=1724867709&sprefix=laptop%2Caps%2C271&sr=8-85
4,"Lenovo IdeaPad 1 AMD Ryzen 3 7320U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/Office 2021/1Yr ADP Free/Cloud Grey/1.58Kg), 82VG00EVIN  ","30,609",https://amazon.in//Lenovo-IdeaPad-Windows-Warranty-82VG00EVIN/dp/B0CJLP39RS/ref=sr_1_86?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.wBAHAERudo3zGWhkXkHVw3PpjzP37zbNQdB7Kricn0_bgvpTMWVzwrV8Yvbk4nP2HDW-gZx37GQwjsfarupESOb47w8e8fMkOCi6kYdoV0p5DpRiVmnS9pGm-3lgAKc565JcsrhGiZL_-fOyAD07SxLQwlO9tgiyQjLGFyP-5kvZ5whjxcdA0sN48OWHwBP9kDijJ8wW43VzF71rKSBMrg.G8BRKMoCh6iEk7rs4l4-59EcWhTR29eliJk8QTb-JLo&dib_tag=se&keywords=laptop&qid=1724867709&sprefix=laptop%2Caps%2C271&sr=8-86
5,"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (35.5cm) WUXGA+ IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.46Kg), 83BF000UIN  ","59,841",https://amazon.in//Lenovo-IdeaPad-12450H-Backlit-83BF000UIN/dp/B0CFF518HZ/ref=sr_1_87?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.wBAHAERudo3zGWhkXkHVw3PpjzP37zbNQdB7Kricn0_bgvpTMWVzwrV8Yvbk4nP2HDW-gZx37GQwjsfarupESOb47w8e8fMkOCi6kYdoV0p5DpRiVmnS9pGm-3lgAKc565JcsrhGiZL_-fOyAD07SxLQwlO9tgiyQjLGFyP-5kvZ5whjxcdA0sN48OWHwBP9kDijJ8wW43VzF71rKSBMrg.G8BRKMoCh6iEk7rs4l4-59EcWhTR29eliJk8QTb-JLo&dib_tag=se&keywords=laptop&qid=1724867709&sprefix=laptop%2Caps%2C271&sr=8-87
6,"Lenovo IdeaPad Slim 3 Intel Core i5-12450H 14"" (35.56cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 2021/Alexa built-in/3 month Game Pass/Arctic Grey/1.37Kg), 83EQ0044IN  ","51,150",https://amazon.in//Lenovo-IdeaPad-i5-12450H-35-56cm-83EQ0044IN/dp/B0CWRSC3HS/ref=sr_1_88?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.wBAHAERudo3zGWhkXkHVw3PpjzP37zbNQdB7Kricn0_bgvpTMWVzwrV8Yvbk4nP2HDW-gZx37GQwjsfarupESOb47w8e8fMkOCi6kYdoV0p5DpRiVmnS9pGm-3lgAKc565JcsrhGiZL_-fOyAD07SxLQwlO9tgiyQjLGFyP-5kvZ5whjxcdA0sN48OWHwBP9kDijJ8wW43VzF71rKSBMrg.G8BRKMoCh6iEk7rs4l4-59EcWhTR29eliJk8QTb-JLo&dib_tag=se&keywords=laptop&qid=1724867709&sprefix=laptop%2Caps%2C271&sr=8-88
7,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","43,990",https://amazon.in//Acer-i5-1235U-Windows-Graphics-AL15-52/dp/B0CLTW4D7T/ref=sr_1_89?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.wBAHAERudo3zGWhkXkHVw3PpjzP37zbNQdB7Kricn0_bgvpTMWVzwrV8Yvbk4nP2HDW-gZx37GQwjsfarupESOb47w8e8fMkOCi6kYdoV0p5DpRiVmnS9pGm-3lgAKc565JcsrhGiZL_-fOyAD07SxLQwlO9tgiyQjLGFyP-5kvZ5whjxcdA0sN48OWHwBP9kDijJ8wW43VzF71rKSBMrg.G8BRKMoCh6iEk7rs4l4-59EcWhTR29eliJk8QTb-JLo&dib_tag=se&keywords=laptop&qid=1724867709&sprefix=laptop%2Caps%2C271&sr=8-89
8,"HP Laptop 15,12th Gen Intel Core i3-1215U,15.6 inch(39.6 cm),FHD,Anti-Glare,8 GB DDR4,1 TB SSD,Windows 11,MSO,Dual Speakers,1.69 kg,Natural Silver,15s-fq5328TU  ","39,980",https://amazon.in//HP-i3-1215U-Anti-Glare-Speakers-15s-fq5328TU/dp/B0CYQ8DS2B/ref=sr_1_90?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.wBAHAERudo3zGWhkXkHVw3PpjzP37zbNQdB7Kricn0_bgvpTMWVzwrV8Yvbk4nP2HDW-gZx37GQwjsfarupESOb47w8e8fMkOCi6kYdoV0p5DpRiVmnS9pGm-3lgAKc565JcsrhGiZL_-fOyAD07SxLQwlO9tgiyQjLGFyP-5kvZ5whjxcdA0sN48OWHwBP9kDijJ8wW43VzF71rKSBMrg.G8BRKMoCh6iEk7rs4l4-59EcWhTR29eliJk8QTb-JLo&dib_tag=se&keywords=laptop&qid=1724867709&sprefix=laptop%2Caps%2C271&sr=8-90
9,"ASUS Vivobook 15 Thin and Light Laptop,Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, (16GB RAM/512GB/Win11/Office 2021/Blue/1.7 kg), X1502ZA-EJ541WS  ","53,990",https://amazon.in//ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ541WS/dp/B0C7H6SSC8/ref=sr_1_91?crid=17B5S1XE7R3NU&dib=eyJ2IjoiMSJ9.wBAHAERudo3zGWhkXkHVw3PpjzP37zbNQdB7Kricn0_bgvpTMWVzwrV8Yvbk4nP2HDW-gZx37GQwjsfarupESOb47w8e8fMkOCi6kYdoV0p5DpRiVmnS9pGm-3lgAKc565JcsrhGiZL_-fOyAD07SxLQwlO9tgiyQjLGFyP-5kvZ5whjxcdA0sN48OWHwBP9kDijJ8wW43VzF71rKSBMrg.G8BRKMoCh6iEk7rs4l4-59EcWhTR29eliJk8QTb-JLo&dib_tag=se&keywords=laptop&qid=1724867709&sprefix=laptop%2Caps%2C271&sr=8-91
